Title,Category,Created by,Created time,Implication,Last edited by,Last updated time,Link,Medium,Reminder,Status,URL,ideas,rating
UX/PD｜第4次重做作品集，刻意减少了 UI - 小红书,Design,Xuanyuan Liu,"January 21, 2026 8:58 PM",上一篇分享的战略性调整看来很多朋友都觉得有帮助。那我索性再提炼几个点 分享我这次重做作品集的思考。 	 我这次重做作品集，刻意减少了 UI 不是因为 UI 不重要， 而是因为 它会掩盖我真正的难点和价值。 这次在系统性重做作品集的时候，我有一个很强烈的感受 我做的几个核心项目，本质上并不是 UI 难 	 项目过程极其复杂： - 要在十几个团队之间来回协调 - 要同时平衡用户体验、技术约束、系统成本和商业风险 - 要在没有 PRD、没有明确 scope 的情况下，把一个抽象目标变成可落地的产品 但你知道最后落在 UI 上是什么样子吗？ 非常简单。 一个 overview 页面、几个关键操作、清晰的 guardrails。 如果我只写「这个页面怎么迭代」「这个component如何优化」， 那恐怕会言之无物，和 entry level 设计师相比，复杂度并不会高多少。 问题不在 UI， 难点在 UI 之前已经被解决了。 . 以我去年做的一个大项目为例，几乎所有的产品需求，都是从设计中“长出来”的。 - 哪些信息用户需要看到，才能做出资源调整决策 - 哪些自由不能给用户，必须通过体验内建约束 - 哪些操作必须慢下来、提醒 tradeoff - 哪些技术限制必须被编码进交互，而不是事后报错 这些都不是 PM 写好再让我画的， 而是我在理解全局之后，通过设计先把边界画出来。 到最后，我的设计稿成了PRD 所以如果我在作品集中重点讲 UI， 反而会把真正重要的部分藏起来。 . 这次重做作品集，我越来越明确一件事： 我想“卖”的不是我做的“项目”，而是我的“脑回路” 是在复杂、不确定、没有答案的情况下，我是怎么做判断的。 所以我开始有意识地： - 少写设计迭代，多写决策判断 - 少强调交付物，多强调影响力 - 少展示“我做了什么”，多解释“我为什么这样做” . 最后想说一句 这种写法，并不适合所有设计师。 如果你的项目核心价值就在交互创新、视觉表达、复杂界面设计，那 UI UX本来就应该是主角。 但我的经历决定了： 我解决的问题，往往在 UI 出现之前就已经结束80%了。 所以这不是我“轻视 UI”，而是我该为自己真正擅长的那一层负责。 	 #成功有时候来的出其不意 #交互设计 #作品集 #北美UX #UX #产品设计,Xuanyuan Liu,"January 21, 2026 8:59 PM",,Text,,WIP,https://www.xiaohongshu.com/explore/695455a0000000001e032f0b?note_flow_source=wechat&xsec_token=CBOyI0AHJEtBc6EA3jOvtLaOTg4TkLPMuTzWtxPI-xnm8=,,
纵观华语乐坛，才发现我们一直低估了友情 - 小红书,Tutorial,Xuanyuan Liu,"January 21, 2026 9:00 PM",关于友情有意思的观察,Xuanyuan Liu,"January 21, 2026 9:00 PM",,Video,,WIP,https://www.xiaohongshu.com/explore/696e3cb2000000000a02ed7b?note_flow_source=wechat&xsec_token=CBkjG3DTQt_u_jomHk88DUwltQ7J_US25KyH0tfznp690=,,
鲁豫对话章小蕙：向前看，人生是场多幕剧｜陈鲁豫·慢谈EP11【视频播客】_哔哩哔哩_bilibili,Strategy,Xuanyuan Liu,"January 21, 2026 9:03 PM",她是「初代名媛」，曾被八卦杂志争相追逐，但她的故事远不止八卦和家境。她是专栏作家、是电影演员、是时尚买手……她的人生充满高光也不乏低谷，但她始终敢于开始也敢于结束，不做“花瓶”，而做真正盛放的玫瑰。,Xuanyuan Liu,"January 21, 2026 9:03 PM",,Video,,WIP,https://www.bilibili.com/video/BV1LbrwBiEGw?buvid=Y149061B0C34AC354E60A42F99986F22994E&from_spmid=search.search-result.0.0&is_story_h5=false&mid=SKHUs8nMoTfand1q5tyiSw%3D%3D&plat_id=116&share_from=ugc&share_medium=iphone_i&share_plat=ios&share_session_id=7E459769-9742-4867-B0F1-E5BD5DD648CA&share_source=COPY&share_tag=s_i&spmid=united.player-video-detail.0.0&timestamp=1768963161&unique_k=TgVq94h&up_id=1479442448&vd_source=e4bae4d2e96adcead7c7b0c30087dcad,,
AI产品经理周报❶本周体验的新产品和思考🤔 - 小红书,"AI, Product",Xuanyuan Liu,"January 21, 2026 9:04 PM",作为产品经理，每天都有各种新观察和感悟。决定开启「AI产品的一周见闻」系列，每周分享3个重要且影响我的观点和产品思考，希望在AI时代与大家一起成长。 	 1️⃣Google Antigravity：从Copilot到Agent的转变 	 Antigravity是Google在2025年底发布的编程工具，实现了从编程副驾驶到数字员工的转变。 	 亮点在💡 👉界面友好：可视化应用，适合编程小白 👉Agent Manager：允许多个agent同时在同一项目中工作，满足了人的管理欲。当AI能独立完成长任务时，用户需要&quot;管理员工&quot;的体验，而非&quot;被指导&quot; 👉模仿人类工作习惯：强制AI生成独立任务文档，不会将所有内容混在对话里 	 2️⃣Claude的产品创新：从Skills到Cowork 	 Claude是极具用户思维的公司，不断探索AI应用新方向 	 🧠模型与Skills：模型是AI的&quot;大脑&quot;，而Skills是封装固定操作的数字员工。基于MCP技术，Skills能调用外部功能，帮你实现特定目标。 	 🤖Cowork功能：将Claude code常用功能变成持续工作的数字员工，如整理文件、处理发票、起草文档等 	 3️⃣产品思维：规划与执行的平衡 	 无论工具如何更新，产品思维永远不会过时 	 🔍多问为什么：在风口层出不穷的今天，需回归本质：为什么做这个产品？是否解决刚需？考虑痛点、推广方式、产品呈现等多个维度 	 🧐呈现很关键：&quot;好用&quot;只是及格线，&quot;好看&quot;和&quot;好感觉&quot;才能真正打动用户。用户决策同时考虑理性和感性因素，需挖掘多层次需求，建立长期粘性 	 🔁迭代心态：AI产品开发需要接受&quot;推倒重来&quot;的心态。每次调整都是通往&quot;aha moment&quot;的阶梯，优秀产品是持续优化的过程 	 👉推荐资源：少楠的「羔羊计划」，分析100位杰出人物的思考方式和决策动因，这类深度研究在AI时代尤为珍贵 在AI学习的路上，每天都有新知。希望保持输出习惯，每周与大家分享我的见闻和思考。一起共勉成长！ 	 #产品经理 #AI产品 #vibecoding大赏 #Claude #Antigravity #小红书科技AMA #互联网大厂 #职场smalltalk #用好ai拿捏职场 #职场进阶指南 @科技薯,Xuanyuan Liu,"January 21, 2026 9:04 PM",,Video,,WIP,https://www.xiaohongshu.com/explore/696f8143000000002103dca8?note_flow_source=wechat&xsec_token=CBOx_d7kbB8mY5eP0u4q1IrQiXg2tHH5r7I9DUl8K6hik=,,
115. 对OpenAI姚顺雨3小时访谈：6年Agent研究、人与系统、吞噬的边界、既单极又多元的世界 - YouTube - 張小珺Xiaojùn Podcast,AI,Xuanyuan Liu,"January 27, 2026 7:55 PM",语言智能体与未来世界,Xuanyuan Liu,"January 27, 2026 7:56 PM",,Video,,Completed,https://www.youtube.com/watch?v=gQgKkUsx5q0,,
像素已死，系统永生：与 Cursor 设计负责人 Ryo 聊Builder时代的到来 | Superlinear Academy,,Xuanyuan Liu,"January 28, 2026 8:28 PM",Figma 在做的是创建静态的状态，它没有逻辑，不能看到数据。它是一个抽象层，卡在了 WebGL Canvas 里面，它不是真的。” “你（设计师）是在做一个假象的版本，你在做一个比 Fake 更真的东西,Xuanyuan Liu,"January 28, 2026 8:28 PM",,Website,,WIP,https://www.superlinear.academy/c/ai-resources/cursor-ryo-builder,,
"How can I think ""AI-Natively""? | LinkedIn",AI,Xuanyuan Liu,"February 2, 2026 11:47 PM","“AI 原生”不是一套新的技术栈，而是一种“定价方式的变化”。

过去代码很贵，是因为人力很贵；现在代码足够便宜，最优策略反过来了：用“铝”（便宜的代码 + 算力）去换“金子”（真相 + 确定性）。

AI 原生的习惯，是大量生成一次性的小工具、可视化和实验——哪怕只用一次——尽快用证据替代拍脑袋的直觉。",Xuanyuan Liu,"February 2, 2026 11:47 PM",,Text,,Completed,https://www.linkedin.com/pulse/what-does-ai-native-mindset-mean-yuzheng-sun-zjsyf/,,
How to do better vibe coding,AI,Yue,"February 5, 2026 9:43 AM",Very insightful articles,Yue,"February 5, 2026 9:44 AM",,Text,,,,,
[](https://x.com/zander_supafast/status/1802684455670136954?s=12),Design,Yue,"February 7, 2026 2:37 PM",Good designers on X,Yue,"February 7, 2026 2:37 PM",,,,,,,
https://www.adhamdannaway.com/blog/design-systems/design-system-examples — Best design system examples - Top design systems in 2025,Design,Yue,"February 7, 2026 2:48 PM",,Yue,"February 7, 2026 2:49 PM",,,,,,,
How to Build a Beloved AI Product - Granola CEO Chris Pedregal - YouTube - The MAD Podcast with Matt Turck,"AI, Product",Xuanyuan Liu,"February 9, 2026 9:56 PM","Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.",Xuanyuan Liu,"February 9, 2026 9:56 PM",,Video,,WIP,https://www.youtube.com/watch?v=IcbuTTVUY7M&t=21s,,
Hannah Hearth - Design Careers in the Age of AI - YouTube - Dive Club 🤿,"AI, Design, Product",Xuanyuan Liu,"February 11, 2026 7:35 PM","Hannah’s #1 trait for great designers
The most underrated storytelling tactic
Doing more with less while not burning out
Examples of how AI is changing the design process
How design orgs should think about adopting AI tools
How much coding is happening on the Vercel design team
Preserving craft and design thinking with collapsed timelines",Xuanyuan Liu,"February 11, 2026 7:41 PM",,Video,,WIP,https://www.youtube.com/watch?v=K9qdl3M5NgE&t=1686s,,
The design process is dead. Here’s what’s replacing it. | Jenny Wen (head of design at Claude) - YouTube - Lenny's Podcast,"AI, Design",Xuanyuan Liu,"March 8, 2026 10:52 PM","Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.",Xuanyuan Liu,"March 8, 2026 10:52 PM",,Video,,WIP,https://www.youtube.com/watch?v=eh8bcBIAAFo,,
Inside How the Claude Code Team Ships at Lightning Speed | Cat Wu - YouTube - Peter Yang,"AI, Product",Xuanyuan Liu,"March 19, 2026 7:49 PM",,Xuanyuan Liu,"March 19, 2026 7:49 PM",,Video,,Completed,https://www.youtube.com/watch?v=jmHBMtpR36M,,
Inside ChatGPT: The fastest growing product in history | Nick Turley (OpenAI) - YouTube - Lenny's Podcast,"AI, Product",Xuanyuan Liu,"March 19, 2026 7:50 PM",,Xuanyuan Liu,"March 19, 2026 7:50 PM",,Video,,Completed,https://www.youtube.com/watch?v=ixY2PvQJ0To&t=4660s,,
